"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","30,814.3","26,658.3","31,471.7","26,502.4","0.39K","15.59%"
"10/15/2023","26,658.3","24,295.7","27,253.0","24,247.8","0.17K","9.72%"
"10/08/2023","24,295.7","25,504.9","25,634.0","24,033.8","0.16K","-4.74%"
"10/01/2023","25,504.9","24,749.7","26,223.6","24,724.3","0.25K","3.05%"
"09/24/2023","24,749.7","24,138.7","24,980.7","23,681.5","0.16K","2.53%"
"09/17/2023","24,138.7","23,860.9","24,660.2","23,713.4","0.15K","1.16%"
"09/10/2023","23,860.9","23,177.0","24,102.4","22,231.8","0.19K","2.95%"
"09/03/2023","23,177.0","22,931.4","23,596.7","22,659.0","0.13K","1.07%"
"08/27/2023","22,931.4","23,055.0","24,730.3","22,497.0","0.18K","-0.54%"
"08/20/2023","23,055.0","23,099.8","23,553.1","22,378.0","0.22K","-0.19%"
"08/13/2023","23,099.8","25,856.5","26,030.1","22,540.1","0.23K","-10.66%"
"08/06/2023","25,856.5","25,435.8","26,420.0","25,120.4","0.11K","1.65%"
"07/30/2023","25,435.8","25,535.2","26,185.4","25,170.0","0.15K","-0.39%"
"07/23/2023","25,535.2","25,793.6","26,300.0","25,071.2","0.13K","-1.00%"
"07/16/2023","25,793.6","26,164.6","26,270.0","25,446.3","0.16K","-1.42%"
"07/09/2023","26,164.6","26,967.9","27,471.0","25,869.3","0.13K","-2.98%"
"07/02/2023","26,967.9","27,464.5","28,295.4","26,700.0","0.14K","-1.81%"
"06/25/2023","27,464.5","27,447.5","28,099.3","26,596.6","0.16K","0.06%"
"06/18/2023","27,447.5","23,738.4","28,113.1","23,500.0","0.29K","15.62%"
"06/11/2023","23,738.4","23,453.2","23,909.0","22,231.0","0.19K","1.22%"
"06/04/2023","23,453.2","24,638.2","24,930.4","23,046.6","0.14K","-4.81%"
"05/28/2023","24,638.2","24,368.0","25,750.1","24,062.8","0.13K","1.11%"
"05/21/2023","24,368.0","24,422.8","24,684.7","23,486.7","0.20K","-0.22%"
"05/14/2023","24,422.8","24,151.3","24,785.8","23,914.9","0.10K","1.12%"
"05/07/2023","24,151.3","25,824.4","26,000.0","23,240.0","0.16K","-6.48%"
"04/30/2023","25,824.4","26,315.1","26,867.0","24,836.7","0.18K","-1.86%"
"04/23/2023","26,315.1","24,962.6","26,737.6","24,049.8","0.22K","5.42%"
"04/16/2023","24,962.6","27,177.6","27,333.0","24,276.7","0.22K","-8.15%"
"04/09/2023","27,177.6","25,404.0","27,570.2","25,293.0","0.36K","6.98%"
"04/02/2023","25,404.0","26,078.3","26,122.4","24,930.4","0.12K","-2.59%"
"03/26/2023","26,078.3","25,349.6","26,750.0","24,368.2","0.29K","2.87%"
"03/19/2023","25,349.6","24,874.5","26,609.2","24,377.0","0.90K","1.91%"
"03/12/2023","24,874.5","18,906.8","25,748.5","18,527.3","0.78K","31.56%"
"03/05/2023","18,906.8","21,015.2","21,295.4","18,150.1","0.24K","-9.92%"
"02/26/2023","20,988.2","21,824.7","22,450.1","20,790.0","0.18K","-3.83%"
"02/19/2023","21,824.7","22,738.2","23,299.6","21,500.0","0.16K","-4.02%"
"02/12/2023","22,738.2","20,238.4","23,250.5","19,709.7","0.28K","12.35%"
